,x,y,word,label
rge,38.22015,-32.188156,rge,3
bc,30.45103,-32.84773,bc,3
cex,49.13957,-23.660295,cex,3
GU,-10.521698,-25.797083,GU,4
execu,47.53258,-35.300865,execu,3
curn,51.206394,-32.1897,curn,3
cplex,34.56812,-20.999352,cplex,3
ch,46.08937,-30.71284,ch,3
AWS,-57.083794,-22.323647,AWS,1
chn,30.895803,-32.680374,chn,3
Sw,-58.28769,-17.420507,Sw,1
ww,42.206512,-38.795918,ww,3
wr,49.500893,-29.982203,wr,3
grphcl,21.2445,-42.620556,grphcl,4
eful,39.499046,-26.78185,eful,3
ueful,26.307774,-30.025412,ueful,3
TAG,-28.5733,-51.538902,TAG,0
enerp,-11.554728,-45.245735,enerp,1
"w,",44.369743,-34.242672,"w,",3
lern,-1.8792951,-21.189821,lern,2
rnf,51.279858,-21.250296,rnf,3
prculr,53.068966,-27.214237,prculr,3
cruc,56.619625,-23.166454,cruc,3
ju,19.46332,-28.697145,ju,0
Me,-52.14427,-13.097357,Me,1
prcee,45.411602,-35.141655,prcee,3
lw,41.081017,-20.236464,lw,3
cpu,52.436756,-19.334696,cpu,3
hr,43.35888,-29.56627,hr,3
vg,47.1211,-24.653687,vg,3
cpug,-7.2366877,-38.566956,cpug,1
See,-24.66399,-51.711647,See,0
nerg,-15.951414,-30.050001,nerg,4
crg,47.11021,-24.707401,crg,3
rp,-16.445736,-40.437748,rp,4
THNK,-29.909178,-52.654,THNK,1
EVEN,-29.93322,-52.58879,EVEN,1
"AP,",-51.554314,-23.598951,"AP,",1
pec,38.3138,-23.377268,pec,3
plee,17.604511,-32.583477,plee,0
"""",-24.569138,-51.651478,"""",0
rk,54.887054,-12.528149,rk,3
OF,-29.88848,-52.73992,OF,2
E,-41.765274,-22.313557,E,1
equence,56.794674,-28.101728,equence,3
rnge,49.19421,-27.995695,rnge,3
Apple',-47.48715,-31.421724,Apple',0
USNG,-29.914911,-52.82209,USNG,1
rc,46.975315,-28.904406,rc,3
L,-44.89639,-14.311797,L,1
Pl,-55.8548,-18.87676,Pl,1
WRONG,-28.71173,-51.656296,WRONG,0
"frwk,",-25.211443,-30.029898,"frwk,",4
